Linea 1, columna 1: Palabra reservada: program
Linea 2, columna 3: Palabra reservada: use
Linea 3, columna 5: Palabra reservada: matrix
Linea 3, columna 11: Parentesis Izquierdo
Linea 3, columna 12: Literal Numerico: 2.0
Linea 3, columna 13: Coma
Linea 3, columna 14: Literal Numerico: 2.0
Linea 3, columna 15: Parentesis Derecho
Linea 3, columna 17: Identificador: m
Linea 3, columna 18: Punto y Coma
Linea 4, columna 5: Palabra reservada: number
Linea 4, columna 12: Identificador: x
Linea 4, columna 13: Punto y Coma
Linea 5, columna 5: Palabra reservada: boolean
Linea 5, columna 13: Identificador: b
Linea 5, columna 14: Punto y Coma
Linea 6, columna 3: Palabra reservada: in
Linea 7, columna 5: Palabra reservada: set
Linea 7, columna 9: Identificador: m
Linea 7, columna 11: Asignacion
Linea 7, columna 13: Llave Izquierda
Linea 7, columna 15: Literal Numerico: 1.0
Linea 7, columna 16: Coma
Linea 7, columna 18: Literal Numerico: 2.0
Linea 8, columna 13: Dos Puntos
Linea 8, columna 15: Literal Numerico: 3.0
Linea 8, columna 16: Coma
Linea 8, columna 18: Literal Numerico: 4.0
Linea 8, columna 20: Llave Derecha
Linea 8, columna 21: Punto y Coma
Linea 10, columna 5: Palabra reservada: read
Linea 10, columna 10: Identificador: x
Linea 10, columna 11: Punto y Coma
Linea 12, columna 5: Palabra reservada: for
Linea 12, columna 9: Identificador: i
Linea 12, columna 11: Palabra reservada: in
Linea 12, columna 14: Identificador: m
Linea 12, columna 16: Palabra reservada: do
Linea 13, columna 7: Palabra reservada: if
Linea 13, columna 10: Identificador: i
Linea 13, columna 12: Operador: Residuo Escalar
Linea 13, columna 14: Literal Numerico: 2.0
Linea 13, columna 16: Comparacion por igualdad
Linea 13, columna 19: Literal Numerico: 0.0
Linea 13, columna 21: Palabra reservada: then
Linea 15, columna 9: Palabra reservada: print
Linea 15, columna 15: Identificador: i
Linea 15, columna 16: Punto y Coma
Linea 16, columna 7: Palabra reservada: else
Linea 17, columna 9: Palabra reservada: print
Linea 17, columna 15: Identificador: x
Linea 17, columna 16: Punto y Coma
Linea 18, columna 9: Palabra reservada: read
Linea 18, columna 14: Identificador: x
Linea 18, columna 15: Punto y Coma
Linea 19, columna 9: Palabra reservada: set
Linea 19, columna 13: Identificador: b
Linea 19, columna 15: Asignacion
Linea 19, columna 17: Palabra reservada: not
Linea 19, columna 21: Identificador: b
Linea 19, columna 22: Punto y Coma
Linea 20, columna 7: Palabra reservada: end
Linea 20, columna 10: Punto y Coma
Linea 21, columna 5: Palabra reservada: end
Linea 21, columna 8: Punto y Coma
Linea 23, columna 5: Palabra reservada: if
Linea 23, columna 8: Identificador: b
Linea 23, columna 10: Palabra reservada: then
Linea 24, columna 7: Palabra reservada: print
Linea 24, columna 13: Identificador: i
Linea 24, columna 14: Punto y Coma
Linea 25, columna 5: Palabra reservada: else
Linea 26, columna 7: Palabra reservada: print
Linea 26, columna 13: String Literal: "b is a lie"
Linea 26, columna 25: Punto y Coma
Linea 27, columna 5: Palabra reservada: end
Linea 27, columna 8: Punto y Coma
Linea 28, columna 3: Palabra reservada: end
Linea 28, columna 6: Punto y Coma
Linea 29, columna 1: Palabra reservada: end
Linea 29, columna 4: Punto y Coma
